vehicle_id,dealer_type,stock_type,mileage,price,model_year,make,model,certified,transmission_from_vin,fuel_type_from_vin,number_price_changes
136,F,NEW,90,73180,2024,Lexus,RX-Series,0,A,Hybrid,0
137,F,NEW,90,73350,2024,Lexus,RX-Series,0,A,Hybrid,0
138,F,NEW,90,76180,2024,Lexus,RX-Series,0,A,Hybrid,0
139,F,NEW,90,76180,2024,Lexus,RX-Series,0,A,Hybrid,0
140,F,NEW,90,76180,2024,Lexus,RX-Series,0,A,Hybrid,0
141,F,NEW,90,76680,2024,Lexus,RX-Series,0,A,Hybrid,0
142,F,NEW,90,81180,2024,Lexus,RX-Series,0,A,Hybrid,0
143,F,NEW,90,761762,2024,Lexus,RX-Series,0,A,Hybrid,4
144,F,NEW,90,91130,2024,Lexus,RX-Series,0,A,Hybrid,0
145,F,NEW,90,91280,2024,Lexus,RX-Series,0,A,Hybrid,0
146,F,NEW,90,109355,2024,Lexus,RX-Series,0,A,Hybrid,1
147,F,NEW,90,91130,2024,Lexus,RX-Series,0,A,Hybrid,0
148,F,USED,8465,58900,2024,Lexus,RX-Series,0,A,Gas,0
149,I,USED,1900,78888,2024,Lexus,RX-Series,0,A,Gas,1
150,F,USED,1900,78888,2024,Lexus,RX-Series,0,A,Gas,1
151,F,NEW,90,83579,2024,Lexus,TX-Series,0,A,Gas,0
152,F,NEW,499,72900,2024,Lexus,TX-Series,0,A,Gas,3
153,F,NEW,90,74829,2024,Lexus,TX-Series,0,A,Gas,0
154,F,NEW,90,72079,2024,Lexus,TX-Series,0,A,Gas,0
155,F,NEW,90,72079,2024,Lexus,TX-Series,0,A,Gas,0
156,F,USED,7825,70900,2024,Lexus,TX-Series,0,A,Gas,3
157,F,NEW,90,72079,2024,Lexus,TX-Series,0,A,Gas,0
158,F,NEW,90,72079,2024,Lexus,TX-Series,0,A,Gas,0
159,F,NEW,90,72079,2024,Lexus,TX-Series,0,A,Gas,0
160,F,NEW,90,72579,2024,Lexus,TX-Series,0,A,Gas,0
161,F,USED,2927,72900,2024,Lexus,TX-Series,0,A,Gas,3
162,F,USED,3000,72900,2024,Lexus,TX-Series,0,A,Gas,0
163,F,NEW,3100,72900,2024,Lexus,TX-Series,0,A,Gas,6
164,F,NEW,499,72900,2024,Lexus,TX-Series,0,A,Gas,10
165,F,NEW,2927,72910,2024,Lexus,TX-Series,0,A,Gas,14
166,F,USED,1715,73967,2024,Lexus,TX-Series,0,A,Gas,0
167,F,NEW,90,74829,2024,Lexus,TX-Series,0,A,Gas,0
168,F,NEW,90,74829,2024,Lexus,TX-Series,0,A,Gas,0
169,F,NEW,90,74829,2024,Lexus,TX-Series,0,A,Gas,0
170,F,NEW,90,74829,2024,Lexus,TX-Series,0,A,Gas,0
171,F,NEW,90,93529,2024,Lexus,TX-Series,0,A,Hybrid,0
172,I,USED,7251,73495,2024,Lexus,TX-Series,0,A,Gas,1
173,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
174,I,NEW,0,74840,2024,Lexus,TX-Series,0,A,Gas,0
