dealer_type,stock_type,mileage,price,model_year,make,model,certified,transmission_from_vin,fuel_type_from_vin,number_price_changes
I,NEW,16,59045,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,3702,59695,2024,Lincoln,Corsair,0,A,Gas,3
I,NEW,10,61070,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,1738,61995,2024,Lincoln,Corsair,0,A,Gas,1
I,NEW,13,62270,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,5,65895,2024,Lincoln,Corsair,0,A,Gas,1
I,NEW,4,66520,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,67620,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,989,69870,2024,Lincoln,Corsair,0,A,Gas,1
I,NEW,2143,71770,2024,Lincoln,Corsair,0,A,Gas,1
I,NEW,5,75020,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,359,52770,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,16,59045,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,3702,59695,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,61070,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,1738,61995,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,13,62270,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,5,65895,2024,Lincoln,Corsair,0,A,Gas,1
I,NEW,4,66520,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,67620,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,989,69870,2024,Lincoln,Corsair,0,A,Gas,1
I,NEW,2143,71770,2024,Lincoln,Corsair,0,A,Gas,1
I,NEW,5,75020,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,20,62619,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,3,63069,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,12,68034,2024,Lincoln,Corsair,0,A,PHEV,6
F,NEW,17,64569,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,102,66619,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,34,66619,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,17,66619,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,19,67569,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,104,67569,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,8,77719,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,20,62619,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,3,63069,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,12,68034,2024,Lincoln,Corsair,0,A,PHEV,6
F,NEW,17,64569,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,102,66619,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,34,66619,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,17,66619,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,19,67569,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,104,67569,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,8,77719,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,359,52770,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,16,59045,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,3702,59695,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,61070,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,3349,61445,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,13,62270,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,11,61320,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,5,65895,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,4,66520,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,67620,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,989,69870,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,7,70870,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,5,70870,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,2143,71770,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,15,74770,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,5,75020,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,4564,51870,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,56820,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,294,56820,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,3252,58895,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,5,59020,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,18,59020,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,56370,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,5,60945,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,6,62195,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,51,62445,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,1703,63395,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,5,63520,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,64495,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,6,65570,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,66520,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,66520,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,5,66520,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,4564,51870,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,39,56820,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,2787,58895,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,12,59020,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,10,60945,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,6,62195,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,51,62445,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,1703,63395,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,10,63520,2024,Lincoln,Corsair,0,A,Gas,0
F,NEW,10,65570,2024,Lincoln,Corsair,0,A,Gas,0
I,NEW,10,68145,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,14,68145,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,10,68545,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,10,69095,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,30,69095,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,41,71645,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,38,72595,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,22,72845,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,17,72845,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,50,72845,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,50,74020,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,10,74670,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,38,76345,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,20,76595,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,86,77070,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,16,78095,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,10,79145,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,15,80095,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,38,80095,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,26,81845,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,17,84870,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,15,86995,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,10,68145,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,14,68145,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,10,68545,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,10,69095,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,30,69095,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,41,71645,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,38,72595,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,17,72845,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,50,72845,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,22,72845,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,50,74020,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,10,74670,2024,Lincoln,Nautilus,0,A,Gas,0
I,NEW,38,76345,2024,Lincoln,Nautilus,0,A,Hybrid,0
I,NEW,20,76595,2024,Lincoln,Nautilus,0,A,Gas,0
